Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,47.480000,47.700001,44.209999,44.590000,44.039360,114375500
2020-01-27,43.930000,44.750000,42.700001,43.189999,42.656651,110951100
2020-02-03,43.560001,45.139999,42.619999,44.740002,44.187508,104189800
2020-02-10,44.639999,46.349998,44.259998,46.090000,45.520840,83573500
2020-02-17,46.139999,46.419998,45.500000,45.820000,45.254173,61782100
2020-02-24,45.119999,46.009998,38.970001,40.430000,39.930733,172974200
2020-03-02,40.340000,43.450001,38.830002,40.369999,39.871471,164839600
2020-03-09,38.169998,39.720001,34.439999,39.330002,38.844318,264013500
2020-03-16,34.639999,39.310001,32.639999,33.369999,32.957916,207093400
2020-03-23,33.169998,37.310001,31.709999,34.570000,34.143097,209167700
2020-03-30,34.740002,35.779999,32.049999,33.950001,33.530754,129279900
2020-04-06,35.369999,38.049999,35.090000,38.000000,37.775551,113103000
2020-04-13,37.450001,38.709999,36.580002,38.080002,37.855080,111537400
2020-04-20,37.680000,38.220001,35.529999,37.160000,36.940514,101949600
2020-04-27,37.570000,39.119999,36.009998,36.980000,36.761578,109999600
2020-05-04,37.150002,37.200001,35.099998,36.529999,36.314232,94284100
2020-05-11,36.259998,36.299999,34.169998,35.919998,35.707836,125695900
2020-05-18,36.939999,39.240002,36.830002,38.740002,38.511185,108843500
2020-05-25,39.450001,40.470001,38.799999,39.599998,39.366100,80795400
2020-06-01,39.540001,43.099998,39.400002,42.090000,41.841396,82580700
2020-06-08,41.930000,43.180000,38.520000,39.459999,39.226929,88569000
2020-06-15,39.290001,41.049999,38.540001,39.099998,38.869053,109082000
2020-06-22,38.799999,39.650002,37.770000,38.650002,38.421715,135782300
2020-06-29,38.869999,40.279999,38.119999,39.250000,39.018169,84385800
2020-07-06,39.799999,40.540001,39.029999,40.509998,40.509998,83860000
2020-07-13,40.470001,42.480000,39.830002,42.180000,42.180000,90294900
2020-07-20,41.990002,43.900002,41.759998,43.349998,43.349998,96972200
2020-07-27,43.200001,45.200001,41.959999,42.799999,42.799999,102915200
2020-08-03,42.689999,43.470001,42.020000,42.810001,42.810001,66173200
2020-08-10,42.560001,44.180000,42.560001,43.770000,43.770000,71810700
2020-08-17,43.869999,43.950001,42.720001,43.070000,43.070000,55158600
2020-08-24,42.860001,44.799999,42.849998,44.560001,44.560001,63400500
2020-08-31,44.259998,45.939999,44.090000,44.439999,44.439999,80769300
2020-09-04,44.910000,44.970001,43.902000,44.430000,44.430000,15911139
