Date,Open,High,Low,Close,Adj Close,Volume
2016-01-18,90.290001,91.400002,84.669998,89.629997,89.629997,17036600
2016-01-25,88.389999,89.260002,82.699997,89.129997,89.129997,19756300
2016-02-01,88.160004,90.239998,77.830002,79.199997,79.199997,23211300
2016-02-08,77.400002,78.330002,71.269997,76.669998,76.669998,35426100
2016-02-15,77.129997,82.820000,77.129997,80.870003,80.870003,16699800
2016-02-22,82.089996,87.480003,80.930000,86.599998,86.599998,16248400
2016-02-29,86.010002,88.550003,84.589996,86.180000,86.180000,15708400
2016-03-07,85.580002,86.519997,83.169998,86.000000,86.000000,15158600
2016-03-14,86.110001,98.000000,85.839996,93.419998,93.419998,29491800
2016-03-21,92.690002,93.419998,91.250000,92.519997,92.519997,15167500
2016-03-28,92.680000,95.470001,91.760002,95.160004,95.160004,23871500
2016-04-04,95.419998,96.279999,93.190002,94.070000,94.070000,12010200
2016-04-11,94.430000,95.220001,92.220001,95.160004,95.160004,10250500
2016-04-18,94.750000,97.690002,93.760002,94.790001,94.790001,13258900
2016-04-25,94.379997,96.300003,92.320000,94.220001,94.220001,12210600
2016-05-02,94.290001,94.989998,92.550003,94.300003,94.300003,9212500
2016-05-09,94.000000,97.260002,93.870003,95.970001,95.970001,8203600
2016-05-16,95.910004,97.760002,95.250000,96.879997,96.879997,11414800
2016-05-23,96.709999,100.330002,96.500000,100.139999,100.139999,9639700
2016-05-30,100.139999,100.559998,97.889999,98.699997,98.699997,9321800
2016-06-06,99.160004,99.669998,96.750000,97.089996,97.089996,9091600
2016-06-13,96.870003,98.089996,95.360001,95.580002,95.580002,12945200
2016-06-20,97.099998,99.919998,92.040001,92.199997,92.199997,29228500
2016-06-27,91.360001,97.139999,90.349998,95.320000,95.320000,16757000
2016-07-04,94.550003,96.860001,94.059998,96.790001,96.790001,7405000
2016-07-11,96.980003,98.400002,96.699997,97.830002,97.830002,8841400
2016-07-18,97.739998,98.889999,96.080002,98.059998,98.059998,9576000
2016-07-25,97.750000,98.610001,96.879997,97.860001,97.860001,9777100
2016-08-01,97.750000,99.080002,95.419998,99.040001,99.040001,9112700
2016-08-08,98.860001,101.930000,98.300003,101.040001,101.040001,8751400
2016-08-15,101.379997,101.629997,99.449997,100.320000,100.320000,9085700
2016-08-22,100.320000,102.750000,99.919998,102.059998,102.059998,6443200
2016-08-29,101.849998,104.160004,101.400002,103.570000,103.570000,7985600
2016-09-05,103.330002,103.739998,99.379997,99.379997,99.379997,8461500
2016-09-12,99.180000,100.500000,97.870003,98.930000,98.930000,15501100
2016-09-19,99.209999,108.500000,99.019997,107.470001,107.470001,23224400
2016-09-26,106.910004,109.760002,106.529999,108.540001,108.540001,14768400
2016-10-03,108.410004,109.330002,107.599998,108.639999,108.639999,7806300
2016-10-10,109.150002,110.129997,106.529999,107.839996,107.839996,8572800
2016-10-17,108.000000,109.379997,107.389999,109.029999,109.029999,7396100
2016-10-24,109.629997,111.089996,106.690002,107.599998,107.599998,9676500
2016-10-31,108.019997,108.290001,105.570000,106.199997,106.199997,12024600
2016-11-07,107.660004,109.160004,101.660004,103.680000,103.680000,19968700
2016-11-14,104.120003,106.800003,101.769997,105.019997,105.019997,13025900
2016-11-21,105.559998,106.360001,103.900002,105.019997,105.019997,6591400
2016-11-28,104.809998,105.980003,98.000000,99.730003,99.730003,15941200
2016-12-05,100.459999,104.500000,100.160004,104.309998,104.309998,12200700
2016-12-12,104.620003,107.800003,101.910004,103.550003,103.550003,23950000
2016-12-19,103.570000,106.080002,103.410004,105.019997,105.019997,11050600
2016-12-26,105.000000,105.900002,102.470001,102.949997,102.949997,5981600
2017-01-02,103.430000,108.430000,102.809998,108.300003,108.300003,9119600
2017-01-09,107.959999,109.050003,107.160004,108.529999,108.529999,11001400
2017-01-16,107.790001,110.809998,107.059998,110.709999,110.709999,10504400
2017-01-23,110.709999,114.570000,110.300003,113.989998,113.989998,14589900
2017-01-30,113.220001,115.449997,112.260002,115.169998,115.169998,9955100
2017-02-06,114.680000,116.940002,113.290001,116.849998,116.849998,11604500
2017-02-13,117.029999,119.720001,116.199997,119.669998,119.669998,8959100
2017-02-20,119.730003,120.169998,117.830002,119.309998,119.309998,8338300
2017-02-27,119.019997,120.570000,118.019997,120.040001,120.040001,9095700
2017-03-06,119.730003,121.370003,119.110001,121.089996,121.089996,11010200
2017-03-13,121.110001,130.300003,120.620003,127.010002,127.010002,18503500
2017-03-20,126.989998,129.000000,124.510002,127.699997,127.699997,15144700
2017-03-27,127.480003,130.690002,126.360001,130.130005,130.130005,11200900
2017-04-03,129.589996,131.330002,128.880005,130.220001,130.220001,11353300
2017-04-10,130.320007,130.419998,128.210007,129.050003,129.050003,8487700
2017-04-17,129.690002,131.990005,129.110001,131.520004,131.520004,9043900
2017-04-24,132.940002,134.250000,132.169998,133.740005,133.740005,9392500
2017-05-01,134.300003,135.699997,133.710007,134.839996,134.839996,10134400
2017-05-08,135.360001,137.380005,134.220001,136.839996,136.839996,8001700
2017-05-15,137.130005,138.389999,130.820007,136.429993,136.429993,16920900
2017-05-22,137.380005,143.479996,136.580002,141.889999,141.889999,9670000
2017-05-29,141.800003,143.570007,140.929993,143.479996,143.479996,9778600
2017-06-05,144.139999,144.339996,135.759995,138.050003,138.050003,12601800
2017-06-12,133.720001,140.850006,131.199997,137.839996,137.839996,19485000
2017-06-19,138.789993,147.449997,138.639999,145.410004,145.410004,25170900
2017-06-26,146.059998,146.889999,139.649994,141.440002,141.440002,13287200
2017-07-03,141.729996,143.360001,138.309998,142.220001,142.220001,7353000
2017-07-10,142.210007,146.479996,141.570007,146.160004,146.160004,8643100
2017-07-17,146.160004,150.399994,145.369995,149.520004,149.520004,8397100
2017-07-24,149.160004,150.369995,144.279999,146.729996,146.729996,8924100
2017-07-31,146.360001,148.619995,144.520004,147.710007,147.710007,8888500
2017-08-07,147.740005,148.899994,144.179993,146.470001,146.470001,7427200
2017-08-14,147.809998,151.990005,147.119995,147.970001,147.970001,7595500
2017-08-21,148.050003,153.000000,147.570007,151.449997,151.449997,7212800
2017-08-28,151.869995,156.059998,150.009995,155.059998,155.059998,6823800
2017-09-04,154.830002,155.889999,153.309998,155.339996,155.339996,5393700
2017-09-11,156.589996,157.889999,153.559998,154.490005,154.490005,9535500
2017-09-18,155.009995,157.050003,147.850006,148.500000,148.500000,23889100
2017-09-25,148.389999,149.279999,143.949997,149.179993,149.179993,14945400
2017-10-02,149.789993,151.360001,146.600006,151.119995,151.119995,11732100
2017-10-09,150.759995,154.850006,150.250000,153.929993,153.929993,12015100
2017-10-16,151.149994,175.869995,148.149994,175.639999,175.639999,31213900
2017-10-23,175.679993,177.580002,170.039993,177.330002,177.330002,14052200
